ProvinceCode,CityCode,CityName
3100,C001,KEPULAUAN SERIBU
3100,C002,KOTA JAKARTA SELATAN
3100,C003,KOTA JAKARTA TIMUR
3100,C004,KOTA JAKARTA PUSAT
3100,C005,KOTA JAKARTA BARAT
3100,C006,KOTA JAKARTA UTARA
1100,C007,KABUPATEN ACEH TIMUR
1100,C008,SIMEULUE
1100,C009,ACEH SINGKIL
1100,C010,ACEH SELATAN
1100,C011,ACEH TENGGARA
1100,C012,ACEH TENGAH
1100,C013,ACEH BARAT
1100,C014,ACEH BESAR
1100,C015,PIDIE
1100,C016,BIREUEN
1100,C017,ACEH UTARA
1100,C018,ACEH BARAT DAYA
1100,C019,GAYO LUES
1100,C020,ACEH TAMIANG
1100,C021,NAGAN RAYA
1100,C022,ACEH JAYA
1100,C023,BENER MERIAH
1100,C024,PIDIE JAYA
1100,C025,KOTA BANDA ACEH
1100,C026,KOTA SABANG
1100,C027,KOTA LANGSA
1100,C028,KOTA LHOKSEUMAWE
1100,C029,KOTA SUBULUSSALAM
1200,C030,NIAS
1200,C031,MANDAILING NATAL
1200,C032,TAPANULI SELATAN
1200,C033,TAPANULI TENGAH
1200,C034,TAPANULI UTARA
1200,C035,TOBA SAMOSIR
1200,C036,LABUHANBATU
1200,C037,ASAHAN
1200,C038,SIMALUNGUN
1200,C039,DAIRI
1200,C040,KARO
1200,C041,DELI SERDANG
1200,C042,LANGKAT
1200,C043,NIAS SELATAN
1200,C044,HUMBANG HASUNDUTAN
1200,C045,PAKPAK BARAT
1200,C046,SAMOSIR
1200,C047,SERDANG BEDAGAI
1200,C048,BATU BARA
1200,C049,PADANG LAWAS UTARA
1200,C050,PADANG LAWAS
1200,C051,LABUHANBATU SELATAN
1200,C052,LABUHANBATU UTARA
1200,C053,NIAS UTARA
1200,C054,NIAS BARAT
1200,C055,KOTA SIBOLGA
1200,C056,KOTA TANJUNG BALAI
1200,C057,KOTA PEMATANG SIANTAR
1200,C058,KOTA TEBING TINGGI
1200,C059,KOTA MEDAN
1200,C060,KOTA BINJAI
